Descriptor,Tier,log2_ratio_jtvae,log2_ratio_digress
MolWt,Tier 1,5.078341917593893,2.455661847426812
ExactMolWt,Tier 2,5.195297759481688,2.575644319890975
HeavyAtomCount,Tier 2,4.852094713625297,2.329295441567166
NumValenceElectrons,Tier 2,4.763571064336416,2.1163013782025124
NHOHCount,Tier 2,-1.0311538416131116,-2.847218726698758
NOCount,Tier 2,3.8242943068165216,2.038893375951874
FractionCSP3,Tier 2,1.6244065133716283,0.16616855607431985
qed,Tier 1,3.392378137092185,-0.1548078418617295
BalabanJ,Tier 2,2.370155501552258,1.3482672262359292
NumHDonors,Tier 1,-0.8052960963172034,-2.92083329492796
NumHAcceptors,Tier 1,2.103086988690529,0.789388662203177
MolLogP,Tier 1,3.308842987749791,0.3607711927249193
NumRotatableBonds,Tier 3,2.263548330985648,0.1682266978428661
TPSA,Tier 1,1.9651572702092708,0.048878202625508446
NumAromaticRings,Tier 3,1.4605107695145807,-2.14094503169441
NumAliphaticRings,Tier 3,0.20749692452721064,-0.015259097768384975
RingCount,Tier 3,2.270181688568013,1.034391005572318
NumSaturatedRings,Tier 3,0.6234799607858046,0.629200187714768
BertzCT,Tier 3,4.217313319691318,2.304021696642927
MolMR,Tier 4,4.721238595848097,1.8397500314474429
MaxPartialCharge,Tier 4,0.3709824061903168,-1.3790013112631032
MinPartialCharge,Tier 4,0.44457397894553324,-0.5061783918714134
MaxAbsPartialCharge,Tier 4,0.6202714057820402,-0.5498218475434002
MinAbsPartialCharge,Tier 4,0.5864214633262848,-1.2752053380005919
Ipc,Tier 4,-0.17295523942991847,-0.3671283194895463
EState_VSA1,Tier 4,2.30769093509525,0.7807374725694629
Chi0,Tier 5,4.757283075991231,2.0804239618994345
Chi1,Tier 5,5.210748534248834,2.698019453532603
Chi2n,Tier 5,4.077596682621083,1.9730404454724337
Chi3n,Tier 5,3.387678953845,1.4856213747140976
Chi0n,Tier 5,4.651521548747774,1.9096246299047495
SlogP_VSA1,Tier 5,0.9333193238531438,-0.7269338395934714
SlogP_VSA2,Tier 5,1.1190709380394437,-0.1659432963961019
SlogP_VSA3,Tier 5,0.39709379609190526,-1.0842987289870292
SlogP_VSA4,Tier 5,0.8497809840029927,0.19973806439713915
SlogP_VSA5,Tier 5,1.449784705358774,0.07018470437508023
