mol_index,smiles,edges,target_swaps_formula,target_swaps,actual_swaps
0,CCCC(=O)C1=C(NCCc2c(C)[nH]c3ccccc23)CCCC1=O,59,ceil(0.5 * num_edges),30,30
1,CCN(CC)S(=O)(=O)c1ccc(NS(=O)(=O)c2cccc(C)c2)cc1,58,ceil(0.5 * num_edges),29,29
2,COc1ccc(NC(=O)Cn2nc3ccc(-c4ccc(Cl)cc4)nn3c2=O)cc1OC,63,ceil(0.5 * num_edges),32,32
3,Fc1ccc(-c2[nH]c(-c3cc(Br)cs3)nc2-c2ccncc2)cc1,47,ceil(0.5 * num_edges),24,24
4,COc1ccc(/N=c2\scc(-c3cc4ccccc4oc3=O)n2-n2c(C)nn(-c3ccc(Br)cc3)c2=O)cc1,79,ceil(0.5 * num_edges),40,40
5,CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)CCC(=O)O)c2)n1,76,ceil(0.5 * num_edges),38,38
6,O=C(Nc1ccc(F)cc1)C1(C(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)c(F)c2)CC1,65,ceil(0.5 * num_edges),33,33
7,O=C1c2sc(COc3ccccc3F)nc2CCN1c1ccc(F)cc1,52,ceil(0.5 * num_edges),26,26
8,COc1ccc(CCNC(=O)C23CCC(C)(C(=O)C2=O)C3(C)C)cc1OC,62,ceil(0.5 * num_edges),31,31
9,C(C(C(C(C(C=O)O)N)O)O)O,25,ceil(0.5 * num_edges),13,13
10,Cc1cc(O)c(C(N)=O)c(=O)[nH]1,23,ceil(0.5 * num_edges),12,12
11,Nc1nnc(SCC(=O)NC2CCCc3ccccc32)s1,45,ceil(0.5 * num_edges),23,23
12,Cn1nccc1NC(=O)N1CCCCCCC1,41,ceil(0.5 * num_edges),21,21
13,Nc1cccc2ccncc12,25,ceil(0.5 * num_edges),13,13
14,CCCCCCCCCCCCCC(=O)Oc1ccc([N+](=O)[O-])cc1,61,ceil(0.5 * num_edges),31,31
15,N=C(N)c1ccc(OC[C@@H]2COc3cc(N(Cc4ccccc4)C(=O)C(=O)O)ccc3O2)cc1,71,ceil(0.5 * num_edges),36,36
16,O=C([C@H]1C[C@H](Cc2ccc(F)cc2)CN1)N1CCCN(C2CCC2)CC1,61,ceil(0.5 * num_edges),31,31
17,FC1=CC=C(N)C=C1F,17,ceil(0.5 * num_edges),9,9
18,COc1cccc(C(=O)NCc2n[nH]c(=S)n2-c2ccccc2Cl)c1,50,ceil(0.5 * num_edges),25,25
19,CCCN(C)c1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,72,ceil(0.5 * num_edges),36,36
20,N#Cc1ccc(CCc2ccccn2)cc1,37,ceil(0.5 * num_edges),19,19
21,O=c1ccn(CCN2CCCC2)c(=O)[nH]1,33,ceil(0.5 * num_edges),17,17
22,C/C=C(\C)C(O)=NCC(=O)O,24,ceil(0.5 * num_edges),12,12
23,COc1ccc2c(c1)C[C@H]1c3c(OC)cc(OC)c(CO)c3CCN1C2,59,ceil(0.5 * num_edges),30,30
24,O=C(Nc1ccc(-n2cc(-c3ccncc3)c(-c3ccc(Cl)c(O)c3)n2)cc1)c1ccc(Cl)c(Cl)c1,72,ceil(0.5 * num_edges),36,36
25,Cc1ccc(NC(=O)CN2CCc3ccccc3C2)cc1S(=O)(=O)N(C)C,63,ceil(0.5 * num_edges),32,32
26,C[C@@H](O)[C@H](NCCC1OCC(C)(C)CO1)C(=O)O,40,ceil(0.5 * num_edges),20,20
27,COc1cc(OC)c(OC)cc1/C=C/C(=O)n1cc(/C=C/C(=O)OC(C)(C)C)c2ccccc21,76,ceil(0.5 * num_edges),38,38
28,O=C(OCCC=CCC)C=C(C)C,33,ceil(0.5 * num_edges),17,17
29,CC(=O)Nc1ccc(OC(=O)N(C)c2ccccc2)cc1,46,ceil(0.5 * num_edges),23,23
30,CC1CCCC(C)(C)C1C(=O)OCC=C,39,ceil(0.5 * num_edges),20,20
31,COc1ccccc1NC(=O)Oc1cccc(OC(=O)c2ccccc2)c1,57,ceil(0.5 * num_edges),29,29
32,COC(=O)c1ccc(Cn2c(SCC(=O)N(C)c3ccccc3)nc3ccccc32)cc1,70,ceil(0.5 * num_edges),35,35
33,C=CCn1nc(Cc2ccc(Cl)cc2Cl)c2ccccc2c1=O,48,ceil(0.5 * num_edges),24,24
34,CC(C)C(/N=C/c1c[nH]c2ccccc12)C(=O)O,40,ceil(0.5 * num_edges),20,20
35,Cc1nnc(CN2C[C@@H]3CCC[C@@]3(C(=O)OC(C)(C)C)C2)s1,51,ceil(0.5 * num_edges),26,26
36,C[C@@H]1N[C@H](C(=O)NN)Cc2c1[nH]c1ccccc21,38,ceil(0.5 * num_edges),19,19
37,COc1cc(O)c(C(=O)O[C@@H]2C[C@]3(C)[C@H]4CC(C)(C)C[C@H]4C=C(C=O)[C@]23O)c(C)c1Cl,66,ceil(0.5 * num_edges),33,33
38,Nc1nc(Nc2cccc(O)c2)c2nc[nH]c2n1,36,ceil(0.5 * num_edges),18,18
39,CNc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(C(F)(F)F)nn12,46,ceil(0.5 * num_edges),23,23
40,Cc1cccc2c(=O)c([Se]c3coc4c(C)cccc4c3=O)coc12,52,ceil(0.5 * num_edges),26,26
41,CCOc1cc(S(=O)(=O)NCCc2c(C)[nH]c3ccc(C)cc23)ccc1F,60,ceil(0.5 * num_edges),30,30
42,CC(=O)Nc1ccc(Sc2ccccc2C(=O)O)cc1,42,ceil(0.5 * num_edges),21,21
43,NCCNC(=O)c1cc([N+](=O)[O-])cc2ccc(-c3ccccc3)nc12,53,ceil(0.5 * num_edges),27,27
44,c1cnc2cc3[nH]cnc3cc2c1,27,ceil(0.5 * num_edges),14,14
45,O=C(Cc1ccccc1)N1C[C@H]2[C@H](CNc3nc(-c4ccccn4)cs3)[C@H]2C1,60,ceil(0.5 * num_edges),30,30
46,O=C(NC1CCC(CC2CCC(NC(=O)C(F)(F)F)CC2)CC1)C(F)(F)F,54,ceil(0.5 * num_edges),27,27
47,N=C(N)Nc1ccc(-c2c[nH]cn2)cc1,32,ceil(0.5 * num_edges),16,16
48,Cn1nnnc1N1CCC(NC(=O)c2cnc3cc(OC(F)(F)F)ccc3c2)CC1,59,ceil(0.5 * num_edges),30,30
49,CCc1ccc(CNC(=O)c2cc(-c3ccc(Br)s3)nc3ccccc23)cc1,61,ceil(0.5 * num_edges),31,31
50,CCOc1ccc(-c2nc3cc(N)ccc3o2)cc1,42,ceil(0.5 * num_edges),21,21
51,CCc1ccc2nc(NC(=O)C3CSC4(C)CCC(=O)N34)sc2c1,52,ceil(0.5 * num_edges),26,26
52,CC1=CC(=CC(=C1C(=O)O[C@@H]2[C@H](O[C@H]([C@@H]2O)N3C=CC(=O)NC3=O)CO)OC)OC,56,ceil(0.5 * num_edges),28,28
53,Nc1ccc(CC(N)c2csc(Nc3nncc4ccccc34)n2)cc1,57,ceil(0.5 * num_edges),29,29
54,O[C@@H](CC/C=C/c1ccccc1)CCc1ccccc1,49,ceil(0.5 * num_edges),25,25
55,C=C1C(=O)O[C@H]2C[C@@H](C)[C@@H]3[C@@H](OC(C)=O)C[C@H](O)[C@@]3(C)C[C@H]12,45,ceil(0.5 * num_edges),23,23
56,O=C(OC(C)C)C(OC1=CC=C(Cl)C=C1C)C,38,ceil(0.5 * num_edges),19,19
57,O=Nc1c(O)nc2cc(Cl)c(Cl)c(Cl)c2c1O,27,ceil(0.5 * num_edges),14,14
58,CCCCN(CC)CCCN=C(S)Nc1ccc2nc3n(c(=O)c2c1)CCCCC3,73,ceil(0.5 * num_edges),37,37
59,NCCCC(c1ccccc1)c1ccccc1,43,ceil(0.5 * num_edges),22,22
60,CCOc1ccc(/N=N/c2ccc3oc(=O)c(/C(C)=N/NC(=O)CC(=O)Nc4cccc(OC)c4)cc3c2)cc1,85,ceil(0.5 * num_edges),43,43
61,Cc1ccc(N(Cc2cccs2)C(=O)c2ccccc2)cc1,50,ceil(0.5 * num_edges),25,25
62,O=C(Cn1cnnn1)N1COCC[C@H]1c1ccccc1,42,ceil(0.5 * num_edges),21,21
63,CCCCCC(=O)c1c(OC)c(Cl)c2oc3c(Cl)c(OC)c(Cl)c(O)c3c2c1O,57,ceil(0.5 * num_edges),29,29
64,Cn1c(-c2cccc(NC(=O)C(=O)Nc3nc4ccc(Br)cc4s3)c2)c(I)c2cc(C(=O)O)c(O)cc21,71,ceil(0.5 * num_edges),36,36
65,Cc1ccc(-c2nnc(-c3ccc4ccccc4c3)o2)cc1,49,ceil(0.5 * num_edges),25,25
66,O=C(NCCc1ccc(Br)cc1)[C@H](CC#Cc1ccc(F)cc1F)NCP(=O)(O)O,60,ceil(0.5 * num_edges),30,30
67,NCC[C@H](O)CN[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,70,ceil(0.5 * num_edges),35,35
68,Fc1ccc(CN(CCN2CCN(CCCc3ccccc3)CC2)c2ccccn2)cc1,77,ceil(0.5 * num_edges),39,39
69,CO[C@@]12CCC(=O)[C@]3(C)Oc4c(O)ccc5c4[C@]13CCN(C)[C@@H]2C5,54,ceil(0.5 * num_edges),27,27
70,CCc1nc(NCc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c2ccccc2n1,68,ceil(0.5 * num_edges),34,34
71,N#CN/C(=N\C1CCCCCCC1)Nc1ccncc1,48,ceil(0.5 * num_edges),24,24
72,c1ccc(c(c1)c1c(c(=O)c2ccccc2o1)O)O,39,ceil(0.5 * num_edges),20,20
73,CCCC12CCC(=O)C=C1c1c(cc(OCCCC(=O)O)c(Cl)c1Cl)C2,56,ceil(0.5 * num_edges),28,28
74,O=[N+]([O-])c1ccc(O)c(/C=N/c2ccccc2Cl)c1,37,ceil(0.5 * num_edges),19,19
75,CCCCCC1=C(C)CC(C(=O)OCC)C1=O,42,ceil(0.5 * num_edges),21,21
76,CCOP(=O)(OCC)c1c(-c2ccccc2)oc2c1C(=O)c1ncccc1C2=O,61,ceil(0.5 * num_edges),31,31
77,C1=CCC(COc2ccc3nccn3n2)C1,36,ceil(0.5 * num_edges),18,18
78,COc1cccc(C2=CC(c3ccc(Cl)cc3)N(C(=O)c3ccncc3)N2)c1,60,ceil(0.5 * num_edges),30,30
79,COc1ccc2c(c1OC)[C@]13CCC(=O)[C@]4(O)O[C@H]2C[C@@]41N(C)CC3,55,ceil(0.5 * num_edges),28,28
80,CC(C)c1ccc2nc(NC(=O)c3ccc(N4CCOCC4)cc3)sc2c1,61,ceil(0.5 * num_edges),31,31
81,Cc1ccc([C@@]2(C(=O)NCc3cc(N4CCOCC4)ncn3)CC2(C)C)cc1,66,ceil(0.5 * num_edges),33,33
82,Nc1nc(-c2ccc3c(c2)CCO3)cs1,32,ceil(0.5 * num_edges),16,16
83,CC1(C)C[C@@H](NC(=O)c2ccc(OCc3ccccc3)nc2)CCO1,57,ceil(0.5 * num_edges),29,29
84,Cc1ccc(S(=O)(=O)NCC2OC(n3ccc(=O)[nH]c3=O)CC2O)cc1,54,ceil(0.5 * num_edges),27,27
85,CC(C)C[C@@H](NC(=O)[C@H](O)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)NCc1ccc([N+](=O)[O-])cc1,81,ceil(0.5 * num_edges),41,41
86,O=C(CSc1ccccc1C(=O)NCCCN1CCCC1=O)NCc1ccco1,64,ceil(0.5 * num_edges),32,32
87,COc1cccc2c1nc(NC(=O)[C@H](C1CC1)N1CCCC1)n2C,55,ceil(0.5 * num_edges),28,28
88,O=S(=O)(c1ccccc1)N1CCN=C1SCc1cccc(Cl)c1,49,ceil(0.5 * num_edges),25,25
89,CNC1CCN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)C1,54,ceil(0.5 * num_edges),27,27
90,CCNCCN=C(O)c1c(C)[nH]c(/C=C2\C(O)=Nc3ccc(F)cc32)c1C,59,ceil(0.5 * num_edges),30,30
91,O=C1NC(=S)S/C1=C\c1ccc(C(F)(F)F)cc1,31,ceil(0.5 * num_edges),16,16
92,Cc1ccc(/C(=N/O)NC2CCCC2)c(OCC2CCCCC2)n1,59,ceil(0.5 * num_edges),30,30
93,O=C(CCCN1CCOCC1)Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,68,ceil(0.5 * num_edges),34,34
94,Cc1c(C(=O)Nc2cccc(Cl)c2)oc2ccc(S(=O)(=O)N(C)C3CCCCC3)cc12,69,ceil(0.5 * num_edges),35,35
95,COc1ccc2c(c1)C(C)=CC(C)(C)N2C(=O)C(C)N1C(=O)c2ccccc2C1=O,67,ceil(0.5 * num_edges),34,34
96,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,77,ceil(0.5 * num_edges),39,39
97,C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCC(C)O)c2ccccc21,64,ceil(0.5 * num_edges),32,32
98,O=C(NC1CCCCCC1)c1cnn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1,64,ceil(0.5 * num_edges),32,32
99,O=C(Cn1c2ccccc2c(=O)c2ccccc21)Nc1ccccc1F,55,ceil(0.5 * num_edges),28,28
100,NC(CNC(=O)CCl)C(=O)O,21,ceil(0.5 * num_edges),11,11
101,CCCN(CCN1CCN(c2ccccc2)CC1)[C@@H]1CCc2c(O)cccc2C1,72,ceil(0.5 * num_edges),36,36
102,OB(O)O[Hg]c1ccccc1,21,ceil(0.5 * num_edges),11,11
103,O=C1C(=Cc2ccc[nH]2)C(=O)N(CCc2ccccc2)C(=O)N1CCc1ccccc1,68,ceil(0.5 * num_edges),34,34
104,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)COc3ccc(C(=O)/C=C/c4ccc(Br)cc4)cc3)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4,84,ceil(0.5 * num_edges),42,42
105,CCN1C(=O)[C@H]2[C@@H](C1=O)[C@@H](c1ccc(-c3ccccc3)c(OC)c1)N[C@@]2(CC(C)C)C(=O)OC,75,ceil(0.5 * num_edges),38,38
106,COc1ccc(C(=O)/C(=C\c2ccc(Br)cc2)S(=O)(=O)Cc2ccccc2)cc1,63,ceil(0.5 * num_edges),32,32
107,N=C(N)c1ccc2cc(NC(=O)Nc3ccccc3)ccc2c1,51,ceil(0.5 * num_edges),26,26
108,COc1ccc2nccc(C3CN(C4CCN(Cc5ccc6ccccc6c5)CC4)C(=O)O3)c2c1,80,ceil(0.5 * num_edges),40,40
109,CN(C(=O)CN1CCCC1=O)c1ccccc1,39,ceil(0.5 * num_edges),20,20
110,Cc1cc(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)n(-c2cccc(C(N)=O)c2)n1,73,ceil(0.5 * num_edges),37,37
111,Cc1ccc2c(c1)c(O)c(C1=CS(=O)(=O)c3ccccc3N1)c(=O)n2CCC1CC1,67,ceil(0.5 * num_edges),34,34
112,CCCCn1c(NCc2ccc3c(c2)OCO3)nc2ccccc21,55,ceil(0.5 * num_edges),28,28
113,Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(COc3ccccn3)nc1)CC2,63,ceil(0.5 * num_edges),32,32
114,C[C@H]1c2ccc(-c3ccc(N)cc3)c(O)c2C(=O)C2=C(O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)C3[C@@H](O)C21,80,ceil(0.5 * num_edges),40,40
115,O=C(O)[C@H]1NC[C@H](NCC(F)(F)F)[C@H]1CCCB(O)O,36,ceil(0.5 * num_edges),18,18
116,CC1=C/C(=C2\C(=O)N(c3ccccc3)N=C2C)OC(=O)N1c1ccc(C)cc1,61,ceil(0.5 * num_edges),31,31
117,C/C(=N\NC(=O)C[n+]1ccccc1)c1sc(-c2nc(C)c(/C(C)=N/NC(=O)C[n+]3ccccc3)s2)nc1C,83,ceil(0.5 * num_edges),42,42
118,CCc1cc(Cl)ccc1NC(=O)N1CC[C@]2(CCN(C)C2)C1,52,ceil(0.5 * num_edges),26,26
119,CCOC(=O)C(C[Si](C)(C)C)C(=O)OCC,39,ceil(0.5 * num_edges),20,20
120,CC(C)c1ccc2nc(-c3ccc(CN4C(=O)CNC4=O)cc3)[nH]c(=O)c2c1,60,ceil(0.5 * num_edges),30,30
121,O=C(CC1COc2ccccc2O1)NC1CC12CCOCC2,50,ceil(0.5 * num_edges),25,25
122,CCCC(=O)/N=C(\N)Nc1nc(C)c2cc(C)ccc2n1,48,ceil(0.5 * num_edges),24,24
123,CSCC[C@H](NC(=O)[C@H](Cc1ccc(O)c(C)c1C)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O,77,ceil(0.5 * num_edges),39,39
124,CN(CCO[C@@H]1CCCCO1)Cc1cc(Cl)cn1C,44,ceil(0.5 * num_edges),22,22
125,CC(NC(=O)CCCP(=O)(O)Oc1ccc([N+](=O)[O-])cc1)C(=O)O,48,ceil(0.5 * num_edges),24,24
126,COc1cc(F)c(C(C)NC(=O)N2CC(C)OCC2C)cc1OC,54,ceil(0.5 * num_edges),27,27
127,CC(=O)c1cccc(OCC(=O)Nc2cc(C)on2)c1,42,ceil(0.5 * num_edges),21,21
128,Cc1cc(N(CCC#N)CCC#N)ccc1C(/N=N/c1ccccc1)=N\NC(=O)c1cc(Cl)ccc1O,79,ceil(0.5 * num_edges),40,40
129,CC(C)(C)OC(=O)NCC(=O)NC1CC=CCC1NC(=O)CNC(=O)OC(C)(C)C,69,ceil(0.5 * num_edges),35,35
130,O=C(Nc1cc(S(=O)(=O)N2CCCCC2)ccc1N1CCOCC1)c1ccc(F)cc1,69,ceil(0.5 * num_edges),35,35
131,CC(C)Nc1nc2cc(F)c(F)cc2n2cnnc12,38,ceil(0.5 * num_edges),19,19
132,N#Cc1cc2ccccc2o1,23,ceil(0.5 * num_edges),12,12
133,NCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,45,ceil(0.5 * num_edges),23,23
134,CNCc1cc(-c2ccccc2)n(C(=O)c2ccccc2)c1,51,ceil(0.5 * num_edges),26,26
135,COc1ccc(N2C[S@@+]([O-])CC2=O)cc1,31,ceil(0.5 * num_edges),16,16
136,Cc1cc(C)cc(NC(=O)NCCCl)c1,34,ceil(0.5 * num_edges),17,17
137,COc1cc(C2c3c(oc4ccccc4c3=O)C(=O)N2Cc2ccc(C)cc2)ccc1O,69,ceil(0.5 * num_edges),35,35
138,C=CCC(=O)N1CCC(n2nccc2NC(=O)c2ccc3c(c2)OCO3)CC1,61,ceil(0.5 * num_edges),31,31
139,C/C(=C\CC/C(C)=C/CC/C(=C/Cc1cc(O)ccc1O)C(=O)O)CO,61,ceil(0.5 * num_edges),31,31
140,CC(/C=C1\SC(=S)N(C(C(=O)O)C(C)C)C1=O)=C\c1ccccc1,52,ceil(0.5 * num_edges),26,26
141,CC[n+]1c(/C=C2\Sc3oc4ccccc4c3N2C)ccc2cc(C)ccc21,62,ceil(0.5 * num_edges),31,31
142,Brc1cc2c(cc1CSc1ncnc3ccccc13)OCO2,44,ceil(0.5 * num_edges),22,22
143,COc1ccc2nc(/C=C/[C@@H]3[C@H]([C@@H](C)O)[C@H](CO)C[C@@H]4CCCC[C@H]43)ccc2c1,65,ceil(0.5 * num_edges),33,33
144,COc1cc2c(c(OC)c1OC)C(=O)c1c-2n(CCCN=[N+]=[N-])c(=O)c2cc([N+](=O)[O-])ccc12,68,ceil(0.5 * num_edges),34,34
145,C[C@]1(O)[C@H](c2cnc3c(N)nc(F)nn23)O[C@H](CO)[C@H]1O,38,ceil(0.5 * num_edges),19,19
146,C=CS(=O)(=O)C1=C[C@H](OC)O[C@@H]1COCc1ccccc1,45,ceil(0.5 * num_edges),23,23
147,C#CCN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,56,ceil(0.5 * num_edges),28,28
148,COc1ccc(/C=C(/NC(=O)c2ccccc2)C(=O)N2CCC(C)CC2)cc1,65,ceil(0.5 * num_edges),33,33
149,Cc1cc(CC(=O)O)c(C)cc1CC(=O)O,35,ceil(0.5 * num_edges),18,18
150,C[C@]1(CNC(=O)Nc2cccc3[nH]c(=O)oc23)CCOC1,44,ceil(0.5 * num_edges),22,22
151,Cc1cccc(Cl)c1Nc1nc2cc(Cl)c(Cl)cc2n2cncc12,47,ceil(0.5 * num_edges),24,24
152,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(Cl)c(OC(F)F)c3)cc1)C2,58,ceil(0.5 * num_edges),29,29
153,O=C(Nc1ccc(OC(F)(F)F)cc1)N1CCC2(CCN(C(=O)C3CCCCC3)CC2)C1,70,ceil(0.5 * num_edges),35,35
154,COc1ccc(-c2[nH]ncc2C(=O)NC[C@@H]2CCCN3CCCC[C@H]23)cc1Cl,61,ceil(0.5 * num_edges),31,31
155,Cc1ccc(OCC(=O)N[C@H]2CCOC2=O)cc1,38,ceil(0.5 * num_edges),19,19
156,NC(=O)NC1NC(=O)NC1=O,20,ceil(0.5 * num_edges),10,10
157,Cc1ccccc1CNCc1coc(-c2ccco2)n1,45,ceil(0.5 * num_edges),23,23
158,CC(C)n1cncc1-c1cccc(OCc2ccc(Cl)cc2)c1,52,ceil(0.5 * num_edges),26,26
159,O=C1NC(=O)c2ccc(Nc3ccc4c(c3)OCO4)cc2/C1=C/Nc1ccc(CN2CCCCC2)cc1,82,ceil(0.5 * num_edges),41,41
160,Cc1c(-n2c(SCn3nnc4ccccc4c3=O)nc3ccccc3c2=O)c(=O)n(-c2ccccc2)n1C,79,ceil(0.5 * num_edges),40,40
161,O=NN1CCCC1C(=O)O,20,ceil(0.5 * num_edges),10,10
162,Cc1cc2sc3nc(C(=O)O)cn3c2cc1C,35,ceil(0.5 * num_edges),18,18
163,CC(C)(Oc1ccc(Cl)cc1)C(=O)N1CCC(NC(=O)Nc2ccc([N+](=O)[O-])cc2)CC1,68,ceil(0.5 * num_edges),34,34
164,N#Cc1cc(-c2cccc(O)c2)cc2ccc(O)cc12,43,ceil(0.5 * num_edges),22,22
165,CC1CN(C(=O)Nc2ccc3snnc3c2)c2ccccc21,47,ceil(0.5 * num_edges),24,24
166,CN(CCc1ccccc1)Cc1cn(CC(O)COCc2ccccc2)nn1,66,ceil(0.5 * num_edges),33,33
167,O=C(CCl)Nc1cccc(Cn2nc(-c3ccc(Oc4ccccc4)cc3)cc2CO)c1,69,ceil(0.5 * num_edges),35,35
168,COC(=O)Nc1ccc2c(c1)ncn2C1CCCCC1,46,ceil(0.5 * num_edges),23,23
169,CC1(Nc2nc(-c3ccncc3)nc3cncc(Cl)c23)CC1,47,ceil(0.5 * num_edges),24,24
170,Cc1cc(C)c2c(c1)CC(C)(C)C(=O)C2=O,38,ceil(0.5 * num_edges),19,19
171,Cc1cccc(NC(=O)c2[nH]cnc2C(=O)N[C@@H](Cc2ccccc2)C(=O)OCc2ccccc2)c1,77,ceil(0.5 * num_edges),39,39
172,COc1ccc(NC(=O)CSc2nc3ccccc3nc2N2CCCC2)cc1Cl,62,ceil(0.5 * num_edges),31,31
173,O=S(=O)(c1ccc(C(F)(F)F)nc1)N1[C@@H](C2CC2)c2cn[nH]c2C(F)(F)[C@@H]1C1CC1,55,ceil(0.5 * num_edges),28,28
174,CC(C)[C@]1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC[C@@H](NC2CCOCC2(O)C(F)(F)F)C1,72,ceil(0.5 * num_edges),36,36
175,CN(C)CCN(C)c1ccc2nnn3c4ccc(O)cc4c(=O)c1c23,55,ceil(0.5 * num_edges),28,28
176,CC[C@H](C)[C@H](N=C(O)[C@H](CO)N=C(O)[C@@H](N)CCC(=N)O)C(O)=N[C@@H](CCCCN)C(=O)O,70,ceil(0.5 * num_edges),35,35
177,C[N+]1(C)C/C(=C/c2ccc(F)cc2)C(=O)/C(=C\c2ccc(F)cc2)C1,56,ceil(0.5 * num_edges),28,28
178,CCCn1c(NC(=O)C23CC4CC(CC(O)(C4)C2)C3)nc2ccccc21,62,ceil(0.5 * num_edges),31,31
179,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,60,ceil(0.5 * num_edges),30,30
180,COC(=O)c1ccc2c(=O)c3c(OC)cc(CCO)cc3oc2c1O,51,ceil(0.5 * num_edges),26,26
181,N[C@H]1C[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO,33,ceil(0.5 * num_edges),17,17
182,Cc1nc2sc(C(c3ccc(Cl)cc3)N3CCC4(CC3)OCCO4)c(O)n2n1,59,ceil(0.5 * num_edges),30,30
183,O=C(c1ccc(O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)cc1)c1ccc([N+](=O)[O-])cc1,50,ceil(0.5 * num_edges),25,25
184,COC(=O)C1=C(C)NC2=C(C(=O)C(C)(C)CC2)C1c1c(F)cccc1F,56,ceil(0.5 * num_edges),28,28
185,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC(C(=O)c3ccc(F)cc3)CC2)nn1,72,ceil(0.5 * num_edges),36,36
186,CCOC(=O)Cc1c(C)c2c(O)cc(O)cc2oc1=O,41,ceil(0.5 * num_edges),21,21
187,CSc1nc2sc3c(c2c(=O)n1-c1ccc(F)cc1)CCCCC3,51,ceil(0.5 * num_edges),26,26
188,COc1ccc(C=C2C(=O)OC(C)(C)OC2=O)cc1,40,ceil(0.5 * num_edges),20,20
189,CC(=O)Nc1ccc2[nH]c(-c3cc(C)ccc3C)nc2c1,47,ceil(0.5 * num_edges),24,24
190,c1ccc(CN2CCC(n3cnc(-c4ccccc4)c3)CC2)cc1,58,ceil(0.5 * num_edges),29,29
191,CN(C)C(=S)/N=c1\sn(C)/c(=N\C(=S)N(C)C)n1C,41,ceil(0.5 * num_edges),21,21
192,COc1cccc(-c2ncc3ccccn23)c1,38,ceil(0.5 * num_edges),19,19
193,Cc1ccc(NC(=O)CC2NCCN(Cc3ccccc3)C2=O)cc1,58,ceil(0.5 * num_edges),29,29
194,CNC(=O)CCCNC(=O)Nc1nc2ccccc2s1,43,ceil(0.5 * num_edges),22,22
195,N#CC1C(=N)CCC1,19,ceil(0.5 * num_edges),10,10
196,O=c1[nH]c(NCCc2ccc(O)cc2)nc(-c2ccccc2)c1Cc1c(O)ccc2ccccc12,77,ceil(0.5 * num_edges),39,39
197,CC(C)(O)c1cc2nc(N/N=C/c3cn(Cc4ccc(Cl)cc4)c4ccccc34)nc(N3CCOCC3)c2s1,85,ceil(0.5 * num_edges),43,43
198,CC(C)CC(=O)c1c[nH]c(C(=O)NCc2ccccc2)c1,48,ceil(0.5 * num_edges),24,24
199,CCCCC(C)C(C)CCC(C)C,40,ceil(0.5 * num_edges),20,20
200,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1OC[C@H](O)[C@H](O)[C@H]1O,33,ceil(0.5 * num_edges),17,17
201,O=C(c1cc(Cl)ccc1F)N1CCCC(Nc2ccc3c(c2)OCCO3)C1,57,ceil(0.5 * num_edges),29,29
202,NC(=O)NCCCC(NC(=O)OCCCCCCn1ccc(=O)[nH]c1=O)C(=O)O,61,ceil(0.5 * num_edges),31,31
203,CC(=O)Nc1cccc(-c2ccnc3c2CC(C(=O)NCC2CCOCC2)O3)c1,65,ceil(0.5 * num_edges),33,33
