mol_index,smiles,edges,target_swaps_formula,target_swaps,actual_swaps
11744,O=C(CNC1c2ccccc2-c2[nH]c3ccccc3c21)NCCC1CCN(Cc2ccccc2)CC1,85,ceil(0.5 * num_edges),43,43
11745,CC[C@@H](C)[C@@H](CN(C)CC(=O)N[C@@H](CCO)C(=O)O)NC[C@@H](N)CS,56,ceil(0.5 * num_edges),28,28
11746,O=C(C1CCCOC1)N1CCOc2cccc(F)c21,41,ceil(0.5 * num_edges),21,21
11747,CCN(CC)CC(=O)Nc1ncccc1O,37,ceil(0.5 * num_edges),19,19
11748,CC(C)=C1Oc2c(ccc3c2C(=O)O[C@H](C)C3)C1=O,40,ceil(0.5 * num_edges),20,20
11749,COCOc1ccc2c(c1)[C@@H]1OC(=O)O[C@]13CCC(C)=C(CO2)C3(C)C,57,ceil(0.5 * num_edges),29,29
11750,c1ccc(-c2ccc(CN3CCSCC3)cc2)cc1,46,ceil(0.5 * num_edges),23,23
11751,Clc1ccc(-c2nc3ccc(N4CCCCC4)nc3s2)cc1,48,ceil(0.5 * num_edges),24,24
11752,O=C(CC)CC(C=1C=CC=CC1)(C)C,36,ceil(0.5 * num_edges),18,18
11753,COc1ccc(S(=O)(=O)N2CCOCC2)cc1C(=O)NCc1c(C)nn(Cc2ccccc2)c1C,79,ceil(0.5 * num_edges),40,40
11754,CCCCCCCCn1c(COc2ccc(F)c(C(N)=O)c2F)nn(-c2ccc(Br)cc2)c1=O,72,ceil(0.5 * num_edges),36,36
11755,O=C(C[C@H]1CCOC1)Nc1cc2ccc(Br)cn2n1,39,ceil(0.5 * num_edges),20,20
11756,Cc1noc2c(Cc3ccccc3)nn(CC(=O)N/N=C\c3cccc([N+](=O)[O-])c3)c(=O)c12,67,ceil(0.5 * num_edges),34,34
11757,CCn1c(Cn2nc(Cc3ccc([N+](=O)[O-])cc3)c3onc(C)c3c2=O)n[nH]c1=S,59,ceil(0.5 * num_edges),30,30
11758,CC[C@H](C)[C@@H](/C=C/c1ccccc1)NC(=O)[C@@H]1CCCCN1CC(=O)c1ccccc1,73,ceil(0.5 * num_edges),37,37
11759,CC(C)=CCCC(C)=CCc1c(O)cc(C=Cc2ccccc2)c(C(=O)O)c1O,68,ceil(0.5 * num_edges),34,34
11760,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](O)CO,62,ceil(0.5 * num_edges),31,31
11761,Cn1c2c(c3cc(O)ccc31)C(CNC(=O)c1ccc(OC(F)(F)F)cc1)CCC2,62,ceil(0.5 * num_edges),31,31
11762,COc1cc(CNC(=O)Nc2ccc(Cl)cc2)ccc1O,44,ceil(0.5 * num_edges),22,22
11763,COC(=O)C1=C(c2ccc3ccccc3c2)C[C@@H]2CC[C@H]1N2C(=O)NC1CC1,62,ceil(0.5 * num_edges),31,31
11764,CC1CCNC1=O,17,ceil(0.5 * num_edges),9,9
11765,O=C(/C=C/c1ccccc1)NC1CC2CCC1C2,44,ceil(0.5 * num_edges),22,22
11766,CC(=O)N(CC(C)(C)CC=C(C)C)C1CCCCC1,52,ceil(0.5 * num_edges),26,26
11767,CN(C)C(=O)c1ccc(S(=O)(=O)NC2CCCCCC2)s1,49,ceil(0.5 * num_edges),25,25
11768,Cc1cc2oc(=O)cc(CN3CCCCC3)c2cc1C(C)C,54,ceil(0.5 * num_edges),27,27
11769,CCCn1c(=O)c2nc(-c3cnn(Cc4cc(-c5ccc(OC)cc5)on4)c3)[nH]c2n(CCC)c1=O,77,ceil(0.5 * num_edges),39,39
11770,Cc1ccc(Cc2n[nH]c(=O)n2N2C(=O)c3ccccc3C2=O)cc1,51,ceil(0.5 * num_edges),26,26
11771,CCO/C=C1\N=C(c2ccc(F)cc2)OC1=O,34,ceil(0.5 * num_edges),17,17
11772,O=C(COC(=O)CNC(=O)c1ccccc1)NCCNC(=O)COC(=O)CNC(=O)c1ccccc1,75,ceil(0.5 * num_edges),38,38
11773,CC(c1ccccc1)N(C)Cc1coc(-c2ccc(OC(F)(F)F)cc2)n1,56,ceil(0.5 * num_edges),28,28
11774,NC(=O)c1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1,80,ceil(0.5 * num_edges),40,40
11775,N=C(N)SCCCn1cc(C2=C(c3cccc4ccccc34)C(=O)NC2=O)c2ccccc21,72,ceil(0.5 * num_edges),36,36
