Model, tipo, train, test, V, VU, VUN, KL, KL36, KL_novel, NvsPC, VUNvsPC
GruM_MEAN, CTDSDiff, g<70, PC, 98.50+-0.00, 98.40+-0.00, 98.30+-0.00, 86.88+-0.38, 85.36+-0.28, 86.60+-0.41, 93.43, 91.96

---------
CDMOL, DTDSDiff, g<70, PC, 85.0, 75.1, 75.1, 95.5,94.9,95.4
CDMOL, DTDSDiff, g<70, PC, 85.0, 75.1, 75.1, 95.3,94.8,95.0
CDMOL, DTDSDiff, g<70, PC, 85.0, 75.1, 75.1, 95.5,95.0,95.2
CDMOL, DTDSDiff, g<70, PC, 85.0, 75.1, 75.1, 95.2,94.8,95.1
CDMOL, DTDSDiff, g<70, PC, 85.0, 75.1, 75.1, 95.2,94.9,95.1
CDMOL_MEAN, DTDSDiff, g<70, PC, 85.00+-0.00, 75.10+-0.00, 75.10+-0.00, 95.34+-0.14, 94.88+-0.07, 95.16+-0.14

---------
JTVAE, VAE, z<70, PC, 100, 99.9, 99.8, 55.6, -, -
JTVAE, VAE, z<70, PC, 100, 99.9, 99.7, 56.2, -, -
JTVAE, VAE, z<70, PC, 100, 99.9, 99.7, 56.2, -, -
JTVAE, VAE, z<70, PC, 100, 99.9, 99.7, 55.5, -, -
JTVAE, VAE, z<70, PC, 100, 99.9, 99.7, 55.8, -, -
JTVAE_MEAN, VAE, z<70, PC, 100.00+-0.00, 99.90+-0.00, 99.72+-0.04, 55.86+-0.29, -, -

---------
CoCoGraphFPS_notime, DTDSDiff, N<70, PC, 100, 100, 99.8, 93.4, -, -
CoCoGraphFPS_notime, DTDSDiff, N<70, PC, 100, 100, 99.9, 93.6, -, -
CoCoGraphFPS_notime, DTDSDiff, N<70, PC, 100, 100, 99.9, 94.7, -, -
CoCoGraphFPS_notime, DTDSDiff, N<70, PC, 100, 100, 99.9, 94.9, -, -
CoCoGraphFPS_notime, DTDSDiff, N<70, PC, 100, 100, 100, 94.8, -, -
CoCoGraphFPS_notime_MEAN, DTDSDiff, N<70, PC, 100.00+-0.00, 100.00+-0.00, 99.90+-0.06, 94.28+-0.64, -, -, 96.72, 96.69
---------
CoCoGraphFPS_unseed, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 94.7, -, -
CoCoGraphFPS_unseed, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 94.8, -, -
CoCoGraphFPS_unseed, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 95.6, -, -
CoCoGraphFPS_unseed, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 95.7, -, -
CoCoGraphFPS_unseed, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 95.7, -, -
CoCoGraphFPS_unseed_MEAN, DTDSDiff, N<70, PC, 100.00+-0.00, 99.90+-0.00, 99.80+-0.00, 95.30+-0.45, -, -, 94.86, 94.54
---------
RVDES, -, N<70, PC, 100, 100, 99.7, 87.3, -, -
RVDES, -, N<70, PC, 100, 100, 99.8, 87.2, -, -
RVDES, -, N<70, PC, 100, 100, 99.8, 87.3, -, -
RVDES, -, N<70, PC, 100, 100, 99.8, 87.7, -, -
RVDES, -, N<70, PC, 100, 100, 99.8, 86.9, -, -
RVDES_MEAN, -, N<70, PC, 100.00+-0.00, 100.00+-0.00, 99.78+-0.04, 87.28+-0.29, -, -, 90.34, 90.34


\begin{table}[!htbp]
    \centering
    \begin{adjustbox}{max width=\textwidth}
    \begin{tabular}{lcccc}
    \hline
