noise_level,tanimoto
generated,0.13793103448275862
generated,0.056338028169014086
generated,0.0707070707070707
generated,0.07920792079207921
generated,0.18018018018018017
generated,0.1349206349206349
generated,0.125
generated,0.1440677966101695
generated,0.14173228346456693
generated,0.11627906976744186
generated,0.1092436974789916
generated,0.12871287128712872
generated,0.16666666666666666
generated,0.12837837837837837
generated,0.05714285714285714
generated,0.07526881720430108
generated,0.21428571428571427
generated,0.11904761904761904
generated,0.13793103448275862
generated,0.05263157894736842
generated,0.18421052631578946
generated,0.16455696202531644
generated,0.09
generated,0.0
generated,0.09815950920245399
generated,0.08461538461538462
generated,0.09090909090909091
generated,0.1774193548387097
generated,0.10967741935483871
generated,0.11188811188811189
generated,0.15966386554621848
generated,0.11392405063291139
generated,0.18604651162790697
generated,0.10135135135135136
generated,0.144
generated,0.13194444444444445
generated,0.06172839506172839
generated,0.10919540229885058
generated,0.08695652173913043
generated,0.125
generated,0.08875739644970414
generated,0.13953488372093023
generated,0.1440677966101695
generated,0.152
generated,0.11504424778761062
generated,0.09433962264150944
generated,0.17592592592592593
generated,0.09259259259259259
generated,0.08771929824561403
generated,0.19444444444444445
generated,0.06077348066298342
generated,1.0
generated,0.1292517006802721
generated,0.1553398058252427
generated,0.1836734693877551
generated,0.125
generated,0.09333333333333334
generated,0.1
generated,0.13385826771653545
generated,0.06896551724137931
generated,0.15436241610738255
generated,0.17582417582417584
generated,0.07547169811320754
generated,0.15748031496062992
generated,0.1076923076923077
generated,0.136
generated,0.23684210526315788
generated,0.04225352112676056
generated,0.11428571428571428
generated,0.07692307692307693
generated,0.16455696202531644
generated,0.10606060606060606
generated,0.1782178217821782
generated,0.0948905109489051
generated,0.2
generated,0.1588785046728972
generated,0.1322314049586777
generated,0.09848484848484848
generated,0.08053691275167785
generated,0.12173913043478261
generated,0.17142857142857143
generated,0.14035087719298245
generated,0.10679611650485436
generated,0.16260162601626016
generated,0.10752688172043011
generated,0.14814814814814814
generated,0.15384615384615385
generated,0.21568627450980393
generated,0.2972972972972973
generated,0.11392405063291139
generated,0.0684931506849315
generated,0.18439716312056736
generated,0.16129032258064516
generated,0.10869565217391304
generated,0.1366906474820144
generated,0.10256410256410256
generated,0.17054263565891473
generated,0.13253012048192772
generated,0.1111111111111111
generated,0.08108108108108109
generated,0.02247191011235955
generated,0.09774436090225563
generated,0.10204081632653061
generated,0.07042253521126761
generated,0.049019607843137254
generated,0.05714285714285714
generated,0.1
generated,0.1276595744680851
generated,0.09649122807017543
generated,0.11347517730496454
generated,0.325
generated,0.20754716981132076
generated,0.11855670103092783
generated,0.1
generated,0.08275862068965517
generated,0.18292682926829268
generated,0.09923664122137404
generated,0.08403361344537816
generated,0.12056737588652482
generated,0.11382113821138211
generated,0.14736842105263157
generated,0.125
generated,0.11842105263157894
generated,0.11290322580645161
generated,0.17346938775510204
generated,0.11570247933884298
generated,0.17647058823529413
generated,0.09523809523809523
generated,0.1267605633802817
generated,0.1553398058252427
generated,0.1111111111111111
generated,0.16363636363636364
generated,0.10843373493975904
generated,0.10967741935483871
generated,0.09917355371900827
generated,0.14285714285714285
generated,0.10091743119266056
generated,0.06896551724137931
generated,0.11764705882352941
generated,0.15286624203821655
generated,0.20930232558139536
generated,0.11320754716981132
generated,0.10236220472440945
generated,0.16666666666666666
generated,0.184
generated,0.18181818181818182
generated,0.16363636363636364
generated,0.1111111111111111
generated,0.12745098039215685
generated,0.12396694214876033
generated,0.16483516483516483
generated,0.10218978102189781
generated,0.14393939393939395
generated,0.11
generated,0.18181818181818182
generated,0.10857142857142857
generated,0.13636363636363635
generated,0.1554054054054054
generated,0.102803738317757
generated,0.11450381679389313
generated,0.1625
generated,0.11764705882352941
generated,0.32
generated,0.07792207792207792
generated,0.15384615384615385
generated,0.1038961038961039
generated,0.17829457364341086
generated,0.0990990990990991
generated,0.12903225806451613
generated,0.1559633027522936
generated,0.15833333333333333
generated,0.11504424778761062
generated,0.20224719101123595
generated,0.17757009345794392
generated,0.10493827160493827
