Model, tipo, train, test, V, VU, VUN, KL, KL36, KL_novel, NvsPC, VUNvsPC
GruM_MEAN, CTDSDiff, g<70, PC, 98.50+-0.00, 98.40+-0.00, 98.30+-0.00, 86.58+-0.28, 85.36+-0.31, 86.60+-0.46, 94.42, 92.93

--------- #no actualizado
CDMOL, DTDSDiff, g<70, PC, 85.0, 75.1, 75.1, 95.5.94.9.95.4
CDMOL, DTDSDiff, g<70, PC, 85.0, 75.1, 75.1, 95.3.94.8.95.0
CDMOL, DTDSDiff, g<70, PC, 85.0, 75.1, 75.1, 95.5.95.0.95.2
CDMOL, DTDSDiff, g<70, PC, 85.0, 75.1, 75.1, 95.2.94.8.95.1
CDMOL, DTDSDiff, g<70, PC, 85.0, 75.1, 75.1, 95.2.94.9.95.1
CDMOL_MEAN, DTDSDiff, g<70, PC, 85.00+-0.00, 75.10+-0.00, 75.10+-0.00, 95.34+-0.14, 94.88+-0.07, 95.16+-0.14, -, -

---------
JTVAE, VAE, z<70, PC, 100, 99.9, 99.8, 56.6, -, -
JTVAE, VAE, z<70, PC, 100, 99.9, 99.8, 54.7, -, -
JTVAE, VAE, z<70, PC, 100, 99.9, 99.7, 56.0, -, -
JTVAE, VAE, z<70, PC, 100, 99.9, 99.7, 55.7, -, -
JTVAE, VAE, z<70, PC, 100, 99.9, 99.6, 54.6, -, -
JTVAE_MEAN, VAE, z<70, PC, 100.00+-0.00, 99.90+-0.00, 99.72+-0.08, 55.52+-0.86, -, -, -, -

---------
CoCoGraphFPS_notime, DTDSDiff, N<70, PC, 100, 100, 99.8, 93.4, -, -
CoCoGraphFPS_notime, DTDSDiff, N<70, PC, 100, 100, 99.9, 94.6, -, -
CoCoGraphFPS_notime, DTDSDiff, N<70, PC, 100, 100, 99.9, 94.8, -, -
CoCoGraphFPS_notime, DTDSDiff, N<70, PC, 100, 100, 99.9, 94.6, -, -
CoCoGraphFPS_notime, DTDSDiff, N<70, PC, 100, 100, 99.9, 94.5, -, -
CoCoGraphFPS_notime_MEAN, DTDSDiff, N<70, PC, 100.00+-0.00, 100.00+-0.00, 99.88+-0.04, 94.38+-0.56, -, -, 97.56, 97.52
---------
CoCoGraphFPS_unseed, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 94.5, -, -
CoCoGraphFPS_unseed, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 95.5, -, -
CoCoGraphFPS_unseed, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 95.7, -, -
CoCoGraphFPS_unseed, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 95.5, -, -
CoCoGraphFPS_unseed, DTDSDiff, N<70, PC, 100, 99.9, 99.8, 95.5, -, -
CoCoGraphFPS_unseed_MEAN, DTDSDiff, N<70, PC, 100.00+-0.00, 99.90+-0.00, 99.80+-0.00, 95.34+-0.43, -, -, 96.22, 95.89
---------
RVDES, -, N<70, PC, 100, 100, 99.8, 87.0, -, -
RVDES, -, N<70, PC, 100, 100, 99.9, 87.2, -, -
RVDES, -, N<70, PC, 100, 100, 99.9, 87.2, -, -
RVDES, -, N<70, PC, 100, 100, 99.8, 87.4, -, -
RVDES, -, N<70, PC, 100, 100, 99.9, 87.2, -, -
RVDES_MEAN, -, N<70, PC, 100.00+-0.00, 100.00+-0.00, 99.86+-0.05, 87.20+-0.13, -, -, 98.5, 98.5

