Feature,Category1,Category2,JS_Distance
BertzCT,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.14417732314476117
BertzCT,ori,jtvae,0.364142649288881
BertzCT,ori,digress,0.22528788426506063
BertzCT,ori,defog_strict,0.19503807831199318
BertzCT,ori,defog_relaxed,0.19235414887364902
BertzCT,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.39505639343052945
BertzCT,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.10708283254354428
BertzCT,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.06989989166294551
BertzCT,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.0684876761996906
BertzCT,jtvae,digress,0.34438469235489955
BertzCT,jtvae,defog_strict,0.34623801968322676
BertzCT,jtvae,defog_relaxed,0.3420482503231644
BertzCT,digress,defog_strict,0.04839931658118095
BertzCT,digress,defog_relaxed,0.04730600764044482
BertzCT,defog_strict,defog_relaxed,0.010177113915354813
MolLogP,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.054702542349129885
MolLogP,ori,jtvae,0.22828312571649836
MolLogP,ori,digress,0.05799149769584412
MolLogP,ori,defog_strict,0.03938871918402596
MolLogP,ori,defog_relaxed,0.0378777390735756
MolLogP,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.3140713096081306
MolLogP,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.05072482812763856
MolLogP,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.045635337658947665
MolLogP,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.055028791482439006
MolLogP,jtvae,digress,0.2772450668072185
MolLogP,jtvae,defog_strict,0.2589430226131334
MolLogP,jtvae,defog_relaxed,0.2523317639272208
MolLogP,digress,defog_strict,0.029676774306462497
MolLogP,digress,defog_relaxed,0.03639890899583523
MolLogP,defog_strict,defog_relaxed,0.013772775109173917
MolWt,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.04992085117081626
MolWt,ori,jtvae,0.27303903577704
MolWt,ori,digress,0.10728545583334306
MolWt,ori,defog_strict,0.12708505284149438
MolWt,ori,defog_relaxed,0.1198382994913967
MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.49813327835760923
MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.08000927802013182
MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.0997396485521932
MolWt,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.09030708256543421
MolWt,jtvae,digress,0.3276664012545866
MolWt,jtvae,defog_strict,0.34357517728012815
MolWt,jtvae,defog_relaxed,0.33884479128025996
MolWt,digress,defog_strict,0.06046019284438809
MolWt,digress,defog_relaxed,0.050846783126603415
MolWt,defog_strict,defog_relaxed,0.012799794447539025
TPSA,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.03950911342266223
TPSA,ori,jtvae,0.20585001875240377
TPSA,ori,digress,0.12892674574768645
TPSA,ori,defog_strict,0.12934736949143968
TPSA,ori,defog_relaxed,0.14429528770251984
TPSA,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.20276205113015677
TPSA,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.10039177022581347
TPSA,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.1019774383281939
TPSA,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.11769963699569416
TPSA,jtvae,digress,0.21603089136132272
TPSA,jtvae,defog_strict,0.217058001114087
TPSA,jtvae,defog_relaxed,0.23714582369382364
TPSA,digress,defog_strict,0.020413039458611573
TPSA,digress,defog_relaxed,0.033397495325129194
TPSA,defog_strict,defog_relaxed,0.026098251688935092
NumHAcceptors,ori,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,0.04794915746938861
NumHAcceptors,ori,jtvae,0.1481622187274542
NumHAcceptors,ori,digress,0.14964525712123905
NumHAcceptors,ori,defog_strict,0.1380805598338966
NumHAcceptors,ori,defog_relaxed,0.13405459440454
NumHAcceptors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,jtvae,0.17001316900227045
NumHAcceptors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,digress,0.11364652814599022
NumHAcceptors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_strict,0.10378148889155377
NumHAcceptors,gen_250211_database_allmolecules_main_2_22_confps_timepred_2_22_confps_sinexplicit,defog_relaxed,0.098944913166647
NumHAcceptors,jtvae,digress,0.21360999818497783
NumHAcceptors,jtvae,defog_strict,0.20817202898511042
NumHAcceptors,jtvae,defog_relaxed,0.2036060791498107
NumHAcceptors,digress,defog_strict,0.022776156609307485
NumHAcceptors,digress,defog_relaxed,0.023110418469167802
NumHAcceptors,defog_strict,defog_relaxed,0.008623844481204762
